basin_label,week,week_end_date,Hospitalized
Brisbane,202439,9/28/24,7
Brisbane,202440,10/5/24,15
Brisbane,202441,10/12/24,20
Brisbane,202442,10/19/24,26
Brisbane,202443,10/26/24,38
Brisbane,202444,11/2/24,48
Brisbane,202445,11/9/24,49
Brisbane,202446,11/16/24,94
Brisbane,202447,11/23/24,107
Brisbane,202448,11/30/24,81
Brisbane,202449,12/7/24,78
Brisbane,202450,12/14/24,89
Brisbane,202451,12/21/24,92
Brisbane,202452,12/28/24,65
Brisbane,202501,1/4/25,52
Brisbane,202502,1/11/25,39
Brisbane,202503,1/18/25,36
Cairns,202443,10/26/24,0
Cairns,202444,11/2/24,1
Cairns,202445,11/9/24,3
Cairns,202446,11/16/24,4
Cairns,202447,11/23/24,6
Cairns,202448,11/30/24,9
Cairns,202449,12/7/24,16
Cairns,202450,12/14/24,16
Cairns,202451,12/21/24,18
Cairns,202452,12/28/24,25
Cairns,202501,1/4/25,33
Cairns,202502,1/11/25,47
Cairns,202503,1/18/25,27
Rockhampton,202445,11/9/24,2
Rockhampton,202446,11/16/24,5
Rockhampton,202447,11/23/24,9
Rockhampton,202448,11/30/24,15
Rockhampton,202449,12/7/24,19
Rockhampton,202450,12/14/24,19
Rockhampton,202451,12/21/24,18
Rockhampton,202452,12/28/24,29
Rockhampton,202501,1/4/25,24
Rockhampton,202502,1/11/25,37
Rockhampton,202503,1/18/25,37
Townsville,202445,11/9/24,3
Townsville,202446,11/16/24,5
Townsville,202447,11/23/24,7
Townsville,202448,11/30/24,5
Townsville,202449,12/7/24,13
Townsville,202450,12/14/24,19
Townsville,202451,12/21/24,49
Townsville,202452,12/28/24,32
Townsville,202501,1/4/25,42
Townsville,202502,1/11/25,51
Townsville,202503,1/18/25,59
