report_date,age_group,deaths
11/23/24,0-4,0
11/23/24,18-49,0
11/23/24,5-17,0
11/23/24,50-64,0
11/23/24,65plus,0
11/23/24,unknown,1
11/30/24,0-4,0
11/30/24,18-49,0
11/30/24,5-17,0
11/30/24,50-64,0
11/30/24,65plus,0
11/30/24,unknown,0
12/07/24,0-4,0
12/07/24,18-49,0
12/07/24,5-17,0
12/07/24,50-64,0
12/07/24,65plus,1
12/07/24,unknown,0
12/14/24,0-4,0
12/14/24,18-49,1
12/14/24,5-17,0
12/14/24,50-64,0
12/14/24,65plus,0
12/14/24,unknown,0
12/21/24,0-4,0
12/21/24,18-49,0
12/21/24,5-17,0
12/21/24,50-64,0
12/21/24,65plus,1
12/21/24,unknown,0
12/28/24,0-4,0
12/28/24,18-49,0
12/28/24,5-17,0
12/28/24,50-64,0
12/28/24,65plus,4
12/28/24,unknown,0
01/04/25,0-4,0
01/04/25,18-49,2
01/04/25,5-17,0
01/04/25,50-64,0
01/04/25,65plus,3
01/04/25,unknown,0
01/11/25,0-4,0
01/11/25,18-49,0
01/11/25,5-17,0
01/11/25,50-64,0
01/11/25,65plus,14
01/11/25,unknown,1
01/18/25,0-4,1
01/18/25,18-49,2
01/18/25,5-17,1
01/18/25,50-64,2
01/18/25,65plus,8
01/18/25,unknown,3
