report_date,age_group,hospitalizations
10/19/24,0-4,0
10/19/24,18-49,0
10/19/24,5-17,0
10/19/24,50-64,1
10/19/24,65plus,0
10/19/24,unknown,0
10/26/24,0-4,0
10/26/24,18-49,0
10/26/24,5-17,0
10/26/24,50-64,0
10/26/24,65plus,0
10/26/24,unknown,0
11/02/24,0-4,0
11/02/24,18-49,0
11/02/24,5-17,0
11/02/24,50-64,0
11/02/24,65plus,0
11/02/24,unknown,0
11/09/24,0-4,0
11/09/24,18-49,0
11/09/24,5-17,0
11/09/24,50-64,0
11/09/24,65plus,1
11/09/24,unknown,0
11/16/24,0-4,0
11/16/24,18-49,0
11/16/24,5-17,0
11/16/24,50-64,0
11/16/24,65plus,1
11/16/24,unknown,0
11/23/24,0-4,0
11/23/24,18-49,0
11/23/24,5-17,1
11/23/24,50-64,0
11/23/24,65plus,0
11/23/24,unknown,0
11/30/24,0-4,1
11/30/24,18-49,0
11/30/24,5-17,0
11/30/24,50-64,1
11/30/24,65plus,3
11/30/24,unknown,0
12/07/24,0-4,1
12/07/24,18-49,0
12/07/24,5-17,1
12/07/24,50-64,0
12/07/24,65plus,2
12/07/24,unknown,1
12/14/24,0-4,0
12/14/24,18-49,3
12/14/24,5-17,0
12/14/24,50-64,0
12/14/24,65plus,6
12/14/24,unknown,0
12/21/24,0-4,0
12/21/24,18-49,3
12/21/24,5-17,3
12/21/24,50-64,2
12/21/24,65plus,9
12/21/24,unknown,2
12/28/24,0-4,4
12/28/24,18-49,8
12/28/24,5-17,11
12/28/24,50-64,3
12/28/24,65plus,11
12/28/24,unknown,5
01/04/25,0-4,3
01/04/25,18-49,8
01/04/25,5-17,8
01/04/25,50-64,3
01/04/25,65plus,28
01/04/25,unknown,11
01/11/25,0-4,9
01/11/25,18-49,18
01/11/25,5-17,25
01/11/25,50-64,12
01/11/25,65plus,58
01/11/25,unknown,12
01/18/25,0-4,18
01/18/25,18-49,27
01/18/25,5-17,40
01/18/25,50-64,12
01/18/25,65plus,117
01/18/25,unknown,29
